Topic,Type,Comment,A,B,C,D,E,F,G,H
NUMBER,,1-2-3-4 right (use pinky)<BR>BR>5-10-15-20 left(use thumb),1,2,3,4,5,10,15,20
NUMBER,,,25,50,75,100,125,150,175,200
NUMBER,,,225,250,275,300,325,350,375,400
NUMBER,,,425,450,475,500,525,550,575,600
NUMBER,,above 600 is uncommonly known or used,625,1250,1875,2500,3125,3750,4375,5000
NUMBER,,,5625,6250,6875,7500,8125,8750,9375,10000
NUMBER,,,10625,11250,11875,12500,13125,13750,14375,15000
NUMBER,,,15625,31250,46875,62500,78125,93750,109375,125000
NUMBER,,,140625,156250,171875,187500,203125,218750,234375,250000
NUMBER,,,265625,531250,796875,1062500,1328125,1593750,1859375,2125000
NUMBER,,,2390625,2656250,2921875,3187500,3453125,3718750,3984375,4250000
NUMBER,,,4515625,9031250,13546875,18062500,22578125,27093750,31609375,36125000
NUMBER,,,40640625,45156250,49671875,54187500,58703125,63218750,67734375,72250000
NUMBER,,,76765625,153531250,230296875,307062500,383828125,460593750,537359375,614125000
NUMBER,,,690890625,767656250,844421875,921187500,997953125,1074718750,1151484375,1228250000
NUMBER,,(negative)NUMBERS(numerator)NUMBER(denominator)NUMBER<BR><BR>just denomintor 0+1/D<BR><BR>just numerator 0+N/600<BR><BR>just nemerator and denominator 0+N/D<BR><BR>or zero or 'too positive' or 'too negative',1305015625,2610031250,too positive,too negative,numerator,denominator,negative,zero
PREPOSITION,,,Per,From,Past,In,Among,Below,Outside,On account of
PREPOSITION,,,On top of,Above,Beyond,Under,Out of,Except,Due to,Minus
PREPOSITION,,,Within,Beneath,Via,Across,As well as,As,Amongst,Until
PREPOSITION,,,Barring,Owing to,Behind,Instead of,Over,Amidst,Like,In case of
PREPOSITION,,,Through,Along,Because of,Towards,Next to,By means of,Before,At
PREPOSITION,,,To,Abroad,Into,Upon,Ahead of,For,Up,Out from
PREPOSITION,,,Besides,Hence,Around,On to,Till,In front of,Apart,Onto
PREPOSITION,,,Down,In spite of,In to,By,Aside,After,Off,Round
PREPOSITION,,,On behalf of,Near,Toward,Concerning,On,Excluding,Away,Beside
PREPOSITION,,,Throughout,Against,Next,Despite,According to,Circa,Out,Opposite
PREPOSITION,,,As far as,In addition to,Ago,Inside,In accordance with,Between,Unlike,With
PREPOSITION,,,Except for,Prior to,Underneath,Than,But,Following,In lieu of,Times
PREPOSITION,,,,In place of,,Unto,,About,,During
PREPOSITION,,,,,,,,,,
PREPOSITION,,,,,,,,,,
PREPOSITION,,,,,,,,,,
Smith,Create,creates using tools,bend,straigten,wrap,seal,forge,shape,strengthen,color
Torturer,Destroy,destroys using tools,flay,peel,pinch,expose,eviscerate,pierce,,
Miner,Destroy,removes from the soil,dig,extract,appraise,,,,,
Farmer,Create,adds to the soil,till,plow,harvest,,sow,reap,gather,plant
Herder,Create,managing herds,herd,count,cull,,,,,
Soldier,Destroy,managing war,march,attack,guard,parry,rally,flank,retreat,turtle
Performer,Create,creates art,,dance,sing,embue,,,,
Healer,Create,repairs the living,cure,heal,repair,youth-en,clense,knit,regrow,
Assassin,Destroy,poison and stealth,poison,kill,sneak,backstab,hide,,,
Summoner,Destroy,controls forces of destruction,summon,banish,protect,command,,,,
Maid,Destroy,destroys by sterilization,sweep,dust,scrub,mop,,,,
Pirate,Destroy,takes by force,sail,bringabout,Tack,board,,,,
Cook,Create,nourishes the living,boil,bake,fry,salt,brown,slice,dice,peel
Porter,Create,move from place to place,drag,carry,flip,tumble,jump,fly,swim,climb
Potionist,Create,makes benefitial potions,grow,shrink,glow,,,,,
Jailor,Destroy,keeps in place,trap,,block,brace,surround,entrench,grab,fortify
